i,j,theta_lo,phi_lo,theta_hi,phi_hi,hs
0,0,0.0,0.0,0.06283185307179587,0.12566370614359174,2057.518415834649
0,1,0.0,0.12566370614359174,0.06283185307179587,0.25132741228718347,2014.3677944127935
0,2,0.0,0.25132741228718347,0.06283185307179587,0.3769911184307752,2014.3677944127935
0,3,0.0,0.3769911184307752,0.06283185307179587,0.5026548245743669,0.0
0,4,0.0,0.5026548245743669,0.06283185307179587,0.6283185307179586,3958.968696246326
0,5,0.0,0.6283185307179586,0.06283185307179587,0.7539822368615504,0.0
0,6,0.0,0.7539822368615504,0.06283185307179587,0.8796459430051422,3917.43118216734
0,7,0.0,0.8796459430051422,0.06283185307179587,1.0053096491487339,3958.968696246326
0,8,0.0,1.0053096491487339,0.06283185307179587,1.1309733552923256,7942.537279471467
0,9,0.0,1.1309733552923256,0.06283185307179587,1.2566370614359172,2014.367794412794
0,10,0.0,1.2566370614359172,0.06283185307179587,1.3823007675795091,2014.3677944127903
0,11,0.0,1.3823007675795091,0.06283185307179587,1.5079644737231008,5973.3364906591205
0,12,0.0,1.5079644737231008,0.06283185307179587,1.6336281798666925,4030.7519730041795
0,13,0.0,1.6336281798666925,0.06283185307179587,1.7592918860102844,0.0
0,14,0.0,1.7592918860102844,0.06283185307179587,1.884955592153876,2016.3841785913853
0,15,0.0,1.884955592153876,0.06283185307179587,2.0106192982974678,4143.266210169579
0,16,0.0,2.0106192982974678,0.06283185307179587,2.1362830044410597,2014.3677944127903
0,17,0.0,2.1362830044410597,0.06283185307179587,2.261946710584651,0.0
0,18,0.0,2.261946710584651,0.06283185307179587,2.387610416728243,8030.854906493756
0,19,0.0,2.387610416728243,0.06283185307179587,2.5132741228718345,4028.7355888255947
0,20,0.0,2.5132741228718345,0.06283185307179587,2.6389378290154264,0.0
0,21,0.0,2.6389378290154264,0.06283185307179587,2.7646015351590183,2014.3677944127903
0,22,0.0,2.7646015351590183,0.06283185307179587,2.8902652413026098,4030.7519730041868
0,23,0.0,2.8902652413026098,0.06283185307179587,3.0159289474462017,0.0
0,24,0.0,3.0159289474462017,0.06283185307179587,3.1415926535897936,2126.8820315781895
0,25,0.0,3.1415926535897936,0.06283185307179587,3.267256359733385,3958.968696246333
0,26,0.0,3.267256359733385,0.06283185307179587,3.392920065876977,0.0
0,27,0.0,3.392920065876977,0.06283185307179587,3.518583772020569,3958.9686962463193
0,28,0.0,3.518583772020569,0.06283185307179587,3.6442474781641603,0.0
0,29,0.0,3.6442474781641603,0.06283185307179587,3.769911184307752,0.0
